id,type,desc,searchKey
240,4,PMM - Pathobiology and Molecular Medicine,PMM
241,4,"PMSN - Pre-Masters""",PMSN
242,4,POL - Political Science,POL
243,4,PORT - Portuguese,PORT
244,4,PRFS - Professional Seminar,PRFS
245,4,PSCI - Pharmacy-Pharmaceutical Sciences,PSCI
246,4,PSTP - Physician Scientist Training Program,PSTP
247,4,PSYC - Psychology,PSYC
248,4,PT - Physical Therapy,PT
249,4,PTA - Physical Therapist Assistant,PTA
250,4,RDSC - Radiation Science,RDSC
251,4,RDTH - Radiation Therapy Technology,RDTH
252,4,RDTN - Radiologic Technology,RDTN
253,4,RE - Real Estate,RE
254,4,READ - Reading,READ
255,4,RELG - Religious Studies,RELG
256,4,RESP - Respiratory Care,RESP
257,4,RLL - Romance Languages and Literature,RLL
258,4,RT - Respiratory Therapy,RT
259,4,RUSS - Russian,RUSS
260,4,SACN - Substance Abuse Counseling,SACN
261,4,SAID - Architecture and Interior Design,SAID
262,4,SAX - Saxophone,SAX
263,4,SEC - Secondary Education,SEC
264,4,SLA - Second Language Acquisition,SLA
265,4,SLCE - Service Learning and Civic Engagement,SLCE
266,4,SLI - Signed Language Interpreting,SLI
267,4,SMGT - Sports Management,SMGT
268,4,SOC - Sociology,SOC
269,4,SPAN - Spanish,SPAN
270,4,SPED - Special Education,SPED
271,4,SPSY - School Psychology,SPSY
272,4,ST - Surgical Technician,ST
273,4,STAT - Statistics,STAT
274,4,SW - Social Work,SW
275,4,SWAH - Swahili,SWAH
276,4,THPR - Theater Production,THPR
277,4,THRY - Music Theory,THRY
278,4,TOX - Toxicology,TOX
279,4,TRB - Trombone,TRB
280,4,TRP - Trumpet,TRP
281,4,TSCI - Teaching Science,TSCI
282,4,TUBA - Tuba,TUBA
283,4,UEL - Urban Educational Leadership,UEL
284,4,URBN - Urban Administration and Urban Studies,URBN
285,4,VC - Violoncello,VC
286,4,VETN - Veterinary Technology,VETN
287,4,VLA - Viola,VLA
288,4,VLN - Violin,VLN
289,4,VOIC - Voice,VOIC
290,4,"WGS - Women's, Gender and Sexuality Studies",WGS
291,4,WLTN - Welding Technology,WLTN
292,5,CD - CD-ROM/DVD,CD
293,5,CI - Classroom or In-person meeting,CI
294,5,IN - Individual Study or Non-Classroom Study,IN
295,5,WB - World Wide Web,WB
296,6,BC:CM - Effective Communication,CM
297,6,BC:CT - Critical Thinking,CT
298,6,BC:IL - Information Literacy,IL
299,6,BC:KI - Knowledge Integration,KI
300,6,BC:SR - Social Responsibility,SR
301,6,BK:DC - Diversity & Culture,DC
302,6,BK:EC - English Composition,EC
303,6,BK:FA - Fine Arts,FA
304,6,BK:HP - Historical Perspectives,HP
305,6,BK:HU - Humanities & Literature,HU
306,6,BK:NS - Natural Sciences,NS
307,6,BK:QR - Quantitative Reasoning,QR
308,6,BK:SE - Social & Ethical Issues,SE
309,6,BK:SS - Social Sciences,SS
310,6,BK:TI - Technology & Innovation,TI
311,6,TP:CP - Capstone,CP
312,6,TP:FY - First Year Experience,FY
313,6,TP:MC - Mid-Collegiate Experience,MC
,,,
,,,
,,,
